onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	2432983	0.0
42	9	3	stimulus	4419073	0.0
51	9	4	stimulus	4419073	52.047826
60	9	5	stimulus	12582231	0.0
69	9	6	stimulus	2131653	0.0
78	9	7	stimulus	3612010	0.0
87	9	8	stimulus	1704323	0.0
96	9	9	stimulus	3345487	0.0
105	9	10	stimulus	4146614	0.0
114	9	11	stimulus	3483823	0.0
123	9	12	stimulus	3665924	0.0
132	9	13	stimulus	3837869	0.0
141	9	14	stimulus	1787835	0.0
150	9	15	stimulus	1787835	151.039225
159	9	16	stimulus	2808440	0.0
168	9	17	stimulus	3512147	0.0
177	9	18	stimulus	2508213	0.0
186	9	19	stimulus	3918737	0.0
195	9	20	stimulus	3085013	0.0
204	9	21	stimulus	2005790	0.0
213	9	22	stimulus	3790512	0.0
222	9	23	stimulus	1518878	0.0
231	9	24	stimulus	4044716	0.0
240	9	25	stimulus	1664990	0.0
249	9	26	stimulus	4254680	0.0
258	9	27	stimulus	4254680	259.050829
267	9	28	stimulus	4255586	0.0
276	9	29	stimulus	2445715	0.0
285	9	30	stimulus	2226429	0.0
294	9	31	stimulus	1877134	0.0
303	9	32	stimulus	4591713	0.0
312	9	33	stimulus	2885462	0.0
321	9	34	stimulus	1639765	0.0
330	9	35	stimulus	1639765	331.047267
339	9	36	stimulus	3815615	0.0
348	9	37	stimulus	2084071	0.0
357	9	38	stimulus	4086273	0.0
366	9	39	stimulus	4497801	0.0
375	9	40	stimulus	4497801	376.049536
384	9	41	stimulus	13111881	0.0
393	9	42	stimulus	3209910	0.0
402	9	43	stimulus	1963571	0.0
411	9	44	stimulus	2090827	0.0
420	9	45	stimulus	3793489	0.0
429	9	46	stimulus	3436182	0.0
438	9	47	stimulus	4168199	0.0
447	9	48	stimulus	4284002	0.0
456	9	49	stimulus	3544143	0.0
465	9	50	stimulus	4398044	0.0
474	9	51	stimulus	3649909	0.0
483	9	52	stimulus	1768244	0.0
492	9	53	stimulus	4273569	0.0
501	9	54	stimulus	4401680	0.0
510	9	55	stimulus	3602883	0.0
519	9	56	stimulus	3467796	0.0
528	6	57	rest		0.0
