onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	1855672	0.0
42	9	3	stimulus	2885462	0.0
51	9	4	stimulus	4612026	0.0
60	9	5	stimulus	7734017	0.0
69	9	6	stimulus	7734017	70.088291
78	9	7	stimulus	2445715	0.0
87	9	8	stimulus	4376876	0.0
96	9	9	stimulus	4376876	97.030167
105	9	10	stimulus	3543603	0.0
114	9	11	stimulus	7758680	0.0
123	9	12	stimulus	2054036	0.0
132	9	13	stimulus	2814860	0.0
141	9	14	stimulus	4123740	0.0
150	9	15	stimulus	2998003	0.0
159	9	16	stimulus	4398044	0.0
168	9	17	stimulus	3982430	0.0
177	9	18	stimulus	2236241	0.0
186	9	19	stimulus	2882647	0.0
195	9	20	stimulus	3397947	0.0
204	9	21	stimulus	4401680	0.0
213	9	22	stimulus	4442312	0.0
222	9	23	stimulus	2802215	0.0
231	9	24	stimulus	2769748	0.0
240	9	25	stimulus	2481823	0.0
249	9	26	stimulus	3918737	0.0
258	9	27	stimulus	4009552	0.0
267	9	28	stimulus	3541923	0.0
276	9	29	stimulus	4497801	0.0
285	9	30	stimulus	1877134	0.0
294	9	31	stimulus	3345487	0.0
303	9	32	stimulus	1833805	0.0
312	9	33	stimulus	1833805	0.0
321	9	34	stimulus	4272054	0.0
330	9	35	stimulus	3602883	0.0
339	9	36	stimulus	3602883	340.034175
348	9	37	stimulus	1963571	0.0
357	9	38	stimulus	3494278	0.0
366	9	39	stimulus	7756951	0.0
375	9	40	stimulus	4477387	0.0
384	9	41	stimulus	4113406	0.0
393	9	42	stimulus	1768244	0.0
402	9	43	stimulus	3209910	0.0
411	9	44	stimulus	3792782	0.0
420	9	45	stimulus	3792782	421.031909
429	9	46	stimulus	3793489	0.0
438	9	47	stimulus	2084071	0.0
447	9	48	stimulus	2508213	0.0
456	9	49	stimulus	2472293	0.0
465	9	50	stimulus	4591713	0.0
474	9	51	stimulus	3483823	0.0
483	9	52	stimulus	4180888	0.0
492	9	53	stimulus	2841315	0.0
501	9	54	stimulus	2090827	0.0
510	9	55	stimulus	3721384	0.0
519	9	56	stimulus	3612010	0.0
528	6	57	rest		0.0
